,Set,Name,Amount,Foil?,Notes
,Innistrad,Purify the Grave,3,,
,Innistrad,Slayer of the Wicked,2,,
,Innistrad,Doomed Traveler,1,,
,Innistrad,Fiend Hunter,1,,
,Innistrad,Avacynian Priest,3,,
,Innistrad,Paraselene,2,,
,Innistrad,Urgent Exorcism,5,,
,Innistrad,Thraben Purebloods,3,,
,Innistrad,Smite the Monstrous,6,,
,Innistrad,Thraben Sentry,4,,
,Innistrad,Moment of Heroism,3,,
,Innistrad,"Mikaeus, the Lunarch ",1,,
,Innistrad,Stony Silence,1,,
,Innistrad,Angel of Flight Alabaster,1,,
,Innistrad,Mentor of the Meek,1,,
,Innistrad,Spectral Rider,2,,
,Innistrad,Ghostly Possession,5,,
,Innistrad,Mausoleum Guard,4,,
,Innistrad,Unruly Mob,8,,
,Innistrad,Elder Cathar,8,,
,Innistrad,Selfless Cathar,7,,
,Innistrad,Village Bell-Ringer,5,,
,Innistrad,Midnight Haunting,6,,
,Innistrad,Intangible Virtue,3,,
,Innistrad,Rebuke,4,,
,Innistrad,Silverchase Fox,3,,
,Innistrad,Voiceless Spirit,9,,
,Innistrad,Rally the Peasants,2,,
,Innistrad,Spare from Evil,6,,
,Innistrad,Abbey Griffin,8,,
,Innistrad,Chapel Geist,6,,
,Innistrad,Bonds of Faith,3,,
,Innistrad,Cloistered Youth,5,,
,Avacyn Restored,Zealous Strike,6,,
,Avacyn Restored,Commander's Authority,2,,
,Avacyn Restored,Midnight Duelist,6,,
,Avacyn Restored,Moorland Inquisitor,2,,
,Avacyn Restored,Cathars' Crusade,3,,
,Avacyn Restored,Emancipation Angel,2,,
,Avacyn Restored,Righteous Blow,2,,
,Avacyn Restored,Farbog Explorer,4,,
,Avacyn Restored,Defang,1,,
,Avacyn Restored,Cathedral Sanctifier,2,,
,Avacyn Restored,Leap of Faith,3,,
,Avacyn Restored,Defy Death,2,,
,Avacyn Restored,Thraben Valiant,5,,
,Avacyn Restored,Goldnight Commander,2,,
,Avacyn Restored,Holy Justiciar,4,,
,Avacyn Restored,Cloudshift,4,,
,Avacyn Restored,Angel's Mercy,3,,
,Avacyn Restored,Call to Serve,1,,
,Avacyn Restored,Angelic Wall,2,,
,Avacyn Restored,Banishing Stroke,3,,
,Avacyn Restored,Midvast Protector,2,,
,Avacyn Restored,Nearheath Pilgrim,1,,
,Avacyn Restored,Seraph of Dawn,1,,
,Avacyn Restored,Voice of the Provinces,1,,
,Avacyn Restored,Moonlight Geist,1,,
,Avacyn Restored,Cursebreak,2,,
,Avacyn Restored,Builder's Blessing,1,,
,Avacyn Restored,Spectral Gateguards,1,,
,Return to Ravnica,Azorius Arrester,2,,
,Return to Ravnica,Precinct Captain,1,,
,Return to Ravnica,Fencing Ace,1,,
,Return to Ravnica,Trained Caracal,3,,
,Return to Ravnica,Armory Guard,2,,
,Return to Ravnica,Bazaar Krovod,1,,
,Return to Ravnica,Seller of Songbirds,2,,
,Return to Ravnica,Selesnya Sentry,3,,
,Return to Ravnica,Azorius Justiciar,1,,
,Return to Ravnica,Sunspire Griffin,1,,
,Return to Ravnica,Arrest,1,,
,Return to Ravnica,Security Blockade,1,,
,Return to Ravnica,Ethereal Armor,1,,
,Return to Ravnica,Knightly Valor,2,,
,Return to Ravnica,Eyes in the Skies,2,,
,Return to Ravnica,Avenging Arrow,1,,
,Return to Ravnica,Rootborn Defenses,1,,
,Magic 2012,Lifelink,2,,
,Magic 2012,Spirit Mantle,1,,
,Magic 2012,Guardians' Pledge,1,,
,Magic 2012,Celestial Purge,2,,
,Magic 2012,Angel's Mercy,3,,
,Magic 2012,Elite Vanguard,2,,
,Magic 2012,Benalish Veteran,4,,
,Magic 2012,Auramancer,3,,
,Magic 2012,Alabaster Mage,1,,
,Magic 2012,Griffin Rider,1,,
,Magic 2012,Pride Guardian,3,,
,Magic 2012,Stonehorn Dignitary,2,,
,Magic 2012,Siege Mastodon,2,,
,Magic 2012,Arbalest Elite,2,,
,Magic 2012,Assault Griffin,1,,
,Magic 2012,Stormfront Pegasus,4,,
,Magic 2012,Serra Angel,2,,
,Dark Ascension,Curse of Exhaustion,1,,
,Dark Ascension,Ray of Revelation,1,,
,Dark Ascension,Skillful Lunge,2,,
,Dark Ascension,Bar the Door,3,,
,Dark Ascension,Hollowhenge Spirit,1,,
,Dark Ascension,Niblis of the Mist,1,,
,Dark Ascension,Sanctuary Cat,3,,
,Dark Ascension,Silverclaw Griffin,2,,
,Dark Ascension,Elgaud Inquisitor,2,,
,Dark Ascension,Thraben Doomsayer,2,,
,Dark Ascension,Midnight Guard,4,,
,Dark Ascension,Gavony Ironwright,1,,
,Dragon's Maze,Lyev Decree,3,,
,Dragon's Maze,Wake the Reflections,5,,
,Dragon's Maze,Riot Control,2,,
,Dragon's Maze,Haazda Snare Squad,1,TRUE,
,Dragon's Maze,Haazda Snare Squad,1,,
,Dragon's Maze,Boros Mastiff,1,,
,Gatecrash,Zarichi Tiger,3,,
,Magic 2013,Pillarfield Ox,2,,
,Magic 2013,Rhox Faithmender,2,,
,Magic 2013,Intrepid Hero,1,,
,Magic 2013,War Falcon,1,,
,Magic 2013,Pacifism,1,,
,Magic 2013,Divine Favor,1,,
,Magic 2013,Safe Passage,1,,
,Magic 2013,Silvercoat Lion,1,,
,Magic 2013,War Priest of Thune,1,,
,Magic 2013,Griffin Protector,1,,
,Zendikar,Kor Outfitter,2,,
,Zendikar,Kor Skyfisher,1,,
,Zendikar,Noble Vestige,1,,
,Zendikar,Kor Sanctifiers,2,,
,Zendikar,Makindi Shieldmate,1,,
,Zendikar,Steppe Lynx,1,,
,Zendikar,Brave the Elements,1,,
,Zendikar,Nimbus Wings,2,,
,Zendikar,Journey to Nowhere,2,,
,Gatecrash,Nav Squad Commandos,1,,
,Gatecrash,Basilica Guards,1,,
,Gatecrash,Court Street Denizen,1,,
,Gatecrash,Dutiful Thrull,3,,
,Gatecrash,Assault Griffin,2,,
,Gatecrash,Daring Skyjek,1,,
,Gatecrash,Urbis Protector,1,,
,Gatecrash,Angelic Skirmisher,1,,
,Gatecrash,Luminate Primordial,1,,
,Gatecrash,Guildscorn Ward,2,,
,Gatecrash,Angelic Edict,1,,
